# Constructed from biom file
#OTU ID	ERR4264700	ERR4264711	ERR4264748	ERR4264769	ERR4264780	ERR4264831
33c7d8d1b079c20920f5e1e57e66a94b	667.0	1280.0	0.0	13734.0	16.0	0.0
83a5381789d9b36ee36d3a312617f938	570.0	1269.0	22.0	13281.0	27.0	163.0
35e9ed5a2e4501f4fe7e74b883a0b459	0.0	0.0	0.0	0.0	20.0	5432.0
bd648733d6f8fc866ae65ad5b8e403c7	281.0	146.0	463.0	2708.0	1389.0	381.0
86feabb84ba7dc85bdef5742797340b5	36.0	45.0	1691.0	2976.0	384.0	224.0
14af61777bb96cbe934db91a9aabeeaf	177.0	144.0	0.0	2921.0	1098.0	337.0
1f70a07d83fe08f12459a877c8ed3f60	86.0	0.0	227.0	688.0	2412.0	594.0
d2affc6e3195b1340dff16b2b6371ea5	174.0	83.0	0.0	2927.0	0.0	142.0
26207a351efe75cbfa09a30200441fb0	0.0	0.0	0.0	0.0	0.0	3152.0
9cce7d2f792227c408296b5f05a4df12	0.0	33.0	92.0	2528.0	11.0	49.0
5dbaa2664ccc3777d2bb0f2bd1db54de	59.0	159.0	88.0	1464.0	496.0	445.0
c78c82104d8ddd585b42e1d39d57b965	149.0	145.0	189.0	63.0	270.0	1781.0
d443d45b9452b33e2f15317f488a8aff	175.0	351.0	274.0	27.0	377.0	1025.0
da37e5beb616a83e5a34ef2c35c387e3	140.0	305.0	239.0	27.0	390.0	1055.0
a60225949f650452f3786ad45b0a8286	248.0	0.0	251.0	1616.0	0.0	37.0
fcbfb00c696a2df779a2356a5872e357	267.0	392.0	234.0	16.0	578.0	537.0
58aa178143966e70ddfe0b08be01f92f	0.0	0.0	0.0	0.0	32.0	1952.0
321667c63fe6949699190948ea3aa82f	685.0	4.0	15.0	3.0	397.0	792.0
e0e69c5a3f7d98c5da9f31cf7e83ab87	0.0	188.0	0.0	12.0	1456.0	0.0
85ce1ebb8e1b31cc2546778aed07b192	622.0	97.0	216.0	7.0	0.0	671.0
20b99fb27bb8e01d5284f9355f3d77ce	1320.0	4.0	7.0	17.0	0.0	206.0
361d5fcf93ca753fe4872c98a62972b3	25.0	89.0	108.0	726.0	265.0	263.0
