run_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	library_selection	read_count	base_count	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	fastq_md5	fastq_ftp	fastq_galaxy	sample_alias	broker_name	sample_title	first_created
SRR11513681	SAMN14560079	SRS6452887	SRX8085329	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	156NOV21Y19	PAIRED	AMPLICON	METAGENOMIC	PCR	44177	26594554	2020-04-14	2020-04-14	Illumina MiSeq sequencing: Gut microbiome of Clostidium difficile patients	Capsule Patients	PRJNA311224	156NOV21Y19	469a46d9730227c3f0210f27a8495676;d041ed847f9fe7b89893b78cfef19cba	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/081/SRR11513681/SRR11513681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/081/SRR11513681/SRR11513681_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/081/SRR11513681/SRR11513681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/081/SRR11513681/SRR11513681_2.fastq.gz	156NOV21Y19		Metagenome or environmental sample from gut metagenome	2020-04-14
SRR11513691	SAMN14560074	SRS6452877	SRX8085319	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	154OCT13Y19	PAIRED	AMPLICON	METAGENOMIC	PCR	64086	38579772	2020-04-14	2020-04-14	Illumina MiSeq sequencing: Gut microbiome of Clostidium difficile patients	Capsule Patients	PRJNA311224	154OCT13Y19	1e2c59ab9bb38bd7b9e9e0f9c4775edb;78c698e392c087a7dba794edc857888a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/091/SRR11513691/SRR11513691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/091/SRR11513691/SRR11513691_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/091/SRR11513691/SRR11513691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/091/SRR11513691/SRR11513691_2.fastq.gz	154OCT13Y19		Metagenome or environmental sample from gut metagenome	2020-04-14
SRR10910956	SAMN13878877	SRS6012943	SRX7578743	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	91_29Dec18	PAIRED	AMPLICON	METAGENOMIC	PCR	43324	26081048	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	91_29Dec18	9385e306f88f0667237cb0433732f5f8;993e180a117a61dbdf55d53a3522cc9c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/056/SRR10910956/SRR10910956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/056/SRR10910956/SRR10910956_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/056/SRR10910956/SRR10910956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/056/SRR10910956/SRR10910956_2.fastq.gz	91_29Dec18		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10910957	SAMN13878876	SRS6012942	SRX7578742	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	91_19Dec18	PAIRED	AMPLICON	METAGENOMIC	PCR	35664	21469728	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	91_19Dec18	c8a725a583709eba825a679833463664;a9af0378174f55e25d2cf5e286ec2ba8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/057/SRR10910957/SRR10910957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/057/SRR10910957/SRR10910957_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/057/SRR10910957/SRR10910957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/057/SRR10910957/SRR10910957_2.fastq.gz	91_19Dec18		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10910969	SAMN13878865	SRS6012930	SRX7578730	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	152_24Sep19	PAIRED	AMPLICON	METAGENOMIC	PCR	46179	27799758	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	152_24Sep19	4fef4ccb6dc680796fa6a6088f092a6b;f4b430ec330b1560183d9cbed1248a10	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/069/SRR10910969/SRR10910969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/069/SRR10910969/SRR10910969_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/069/SRR10910969/SRR10910969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/069/SRR10910969/SRR10910969_2.fastq.gz	152_24Sep19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10910970	SAMN13878864	SRS6012929	SRX7578729	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	152_16Sep19	PAIRED	AMPLICON	METAGENOMIC	PCR	45263	27248326	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	152_16Sep19	c3a12a2af69485643daa1ac411691cd8;fcab7aa1560b487461590ba5e497f6f2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/070/SRR10910970/SRR10910970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/070/SRR10910970/SRR10910970_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/070/SRR10910970/SRR10910970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/070/SRR10910970/SRR10910970_2.fastq.gz	152_16Sep19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10910971	SAMN13878863	SRS6012928	SRX7578728	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	152_07Sep19	PAIRED	AMPLICON	METAGENOMIC	PCR	51077	30748354	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	152_07Sep19	fe3de0fdee3ebe336e189044d52877b7;f75b76536e9191f7962144218196fa04	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/071/SRR10910971/SRR10910971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/071/SRR10910971/SRR10910971_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/071/SRR10910971/SRR10910971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/071/SRR10910971/SRR10910971_2.fastq.gz	152_07Sep19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10910973	SAMN13878861	SRS6012926	SRX7578726	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	151_26Aug19	PAIRED	AMPLICON	METAGENOMIC	PCR	44991	27084582	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	151_26Aug19	421fdd83fc05383f4db81f8e453af470;5c132270feacf86c703f64c7a667f127	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/073/SRR10910973/SRR10910973_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/073/SRR10910973/SRR10910973_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/073/SRR10910973/SRR10910973_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/073/SRR10910973/SRR10910973_2.fastq.gz	151_26Aug19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10910976	SAMN13878787	SRS6012923	SRX7578723	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	139_08Apr19	PAIRED	AMPLICON	METAGENOMIC	PCR	19895	11976790	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	139_08Apr19	240469d8888df8d05a89a5cf09d9ced6;2b9d3cd941a2208c312d20f9a582df0a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/076/SRR10910976/SRR10910976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/076/SRR10910976/SRR10910976_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/076/SRR10910976/SRR10910976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/076/SRR10910976/SRR10910976_2.fastq.gz	139_08Apr19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10910978	SAMN13878857	SRS6012921	SRX7578721	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	143_30Sep19	PAIRED	AMPLICON	METAGENOMIC	PCR	8496	5114592	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	143_30Sep19	c35aa5256ce9262ddcaaa27cd9fb3995;602221f9394a84848980e7c613c5fe54	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/078/SRR10910978/SRR10910978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/078/SRR10910978/SRR10910978_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/078/SRR10910978/SRR10910978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/078/SRR10910978/SRR10910978_2.fastq.gz	143_30Sep19		Metagenome or environmental sample from gut metagenome	2020-01-20
