run_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	library_selection	read_count	base_count	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	fastq_md5	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_aspera	sample_alias	broker_name	sample_title	first_created	bam_ftp
ERR4836301	SAMEA7571362	ERS5327984	ERX4706079	PRJEB41316	9606	Homo sapiens	ILLUMINA	unspecified		PAIRED	AMPLICON	GENOMIC	PCR	46484	11660528	2020-11-13	2020-11-13	unspecified sequencing: Raw reads: ERS5327984	16S rRNA sequencing of samples from universal stool bank donors	ena-STUDY-OpenBiome-12-11-2020-22:03:30:588-393	webin-reads-ERS5327984	2e0892c9650a18f5f32c890a32a034db;aea0084be0f4636879081acb439686b2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/001/ERR4836301/ERR4836301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/001/ERR4836301/ERR4836301_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/001/ERR4836301/ERR4836301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/001/ERR4836301/ERR4836301_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836301/sample007_S001_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836301/sample007_S001_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836301/sample007_S001_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836301/sample007_S001_L001_R2_001.fastq.gz	sample007		Fecal sample from stool bank donor	2020-11-13	ftp.sra.ebi.ac.uk/vol1/err/ERR483/001/ERR4836301.bam
ERR4836333	SAMEA7571376	ERS5327998	ERX4706111	PRJEB41316	9606	Homo sapiens	ILLUMINA	unspecified		PAIRED	AMPLICON	GENOMIC	PCR	51692	12967575	2020-11-13	2020-11-13	unspecified sequencing: Raw reads: ERS5327998	16S rRNA sequencing of samples from universal stool bank donors	ena-STUDY-OpenBiome-12-11-2020-22:03:30:588-393	webin-reads-ERS5327998	a3c7801f35eaf431215ce9a5e8306ff9;7f8d295a0cf229f34bbccc5883336bed	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/003/ERR4836333/ERR4836333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/003/ERR4836333/ERR4836333_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/003/ERR4836333/ERR4836333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/003/ERR4836333/ERR4836333_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836333/sample021_S001_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836333/sample021_S001_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836333/sample021_S001_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836333/sample021_S001_L001_R2_001.fastq.gz	sample021		Fecal sample from stool bank donor	2020-11-13	ftp.sra.ebi.ac.uk/vol1/err/ERR483/003/ERR4836333.bam
ERR4836355	SAMEA7571398	ERS5328020	ERX4706133	PRJEB41316	9606	Homo sapiens	ILLUMINA	unspecified		PAIRED	AMPLICON	GENOMIC	PCR	68668	17233146	2020-11-13	2020-11-13	unspecified sequencing: Raw reads: ERS5328020	16S rRNA sequencing of samples from universal stool bank donors	ena-STUDY-OpenBiome-12-11-2020-22:03:30:588-393	webin-reads-ERS5328020	ccaf18d3969270a74fe2fe54a844493b;2a08c086ff5c8cd181932bd617bd13dd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/005/ERR4836355/ERR4836355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/005/ERR4836355/ERR4836355_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/005/ERR4836355/ERR4836355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/005/ERR4836355/ERR4836355_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836355/sample043_S001_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836355/sample043_S001_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836355/sample043_S001_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836355/sample043_S001_L001_R2_001.fastq.gz	sample043		Fecal sample from stool bank donor	2020-11-13	ftp.sra.ebi.ac.uk/vol1/err/ERR483/005/ERR4836355.bam
ERR4836373	SAMEA7571416	ERS5328038	ERX4706151	PRJEB41316	9606	Homo sapiens	ILLUMINA	unspecified		PAIRED	AMPLICON	GENOMIC	PCR	94564	23719562	2020-11-13	2020-11-13	unspecified sequencing: Raw reads: ERS5328038	16S rRNA sequencing of samples from universal stool bank donors	ena-STUDY-OpenBiome-12-11-2020-22:03:30:588-393	webin-reads-ERS5328038	66832619046953c4ee08fd6c5f8f89f9;78f2844460916cb17594131f3c9eb48f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/003/ERR4836373/ERR4836373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/003/ERR4836373/ERR4836373_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/003/ERR4836373/ERR4836373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/003/ERR4836373/ERR4836373_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836373/sample061_S001_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836373/sample061_S001_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836373/sample061_S001_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836373/sample061_S001_L001_R2_001.fastq.gz	sample061		Fecal sample from stool bank donor	2020-11-13	ftp.sra.ebi.ac.uk/vol1/err/ERR483/003/ERR4836373.bam
ERR4836379	SAMEA7571422	ERS5328044	ERX4706157	PRJEB41316	9606	Homo sapiens	ILLUMINA	unspecified		PAIRED	AMPLICON	GENOMIC	PCR	48344	12127230	2020-11-13	2020-11-13	unspecified sequencing: Raw reads: ERS5328044	16S rRNA sequencing of samples from universal stool bank donors	ena-STUDY-OpenBiome-12-11-2020-22:03:30:588-393	webin-reads-ERS5328044	3ccfbfbcfa80c89aa1cd059025d7fe85;429727de638b0776a1cf212ee1eaa345	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/009/ERR4836379/ERR4836379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/009/ERR4836379/ERR4836379_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/009/ERR4836379/ERR4836379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/009/ERR4836379/ERR4836379_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836379/sample067_S001_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836379/sample067_S001_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836379/sample067_S001_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836379/sample067_S001_L001_R2_001.fastq.gz	sample067		Fecal sample from stool bank donor	2020-11-13	ftp.sra.ebi.ac.uk/vol1/err/ERR483/009/ERR4836379.bam
ERR4836393	SAMEA7571436	ERS5328058	ERX4706171	PRJEB41316	9606	Homo sapiens	ILLUMINA	unspecified		PAIRED	AMPLICON	GENOMIC	PCR	42840	10746087	2020-11-13	2020-11-13	unspecified sequencing: Raw reads: ERS5328058	16S rRNA sequencing of samples from universal stool bank donors	ena-STUDY-OpenBiome-12-11-2020-22:03:30:588-393	webin-reads-ERS5328058	49b755ace7cf38face1fe3ebf55dd730;1c3cefa2e716ccb9d49ba334ca7fc155	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/003/ERR4836393/ERR4836393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/003/ERR4836393/ERR4836393_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/003/ERR4836393/ERR4836393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/003/ERR4836393/ERR4836393_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836393/sample081_S001_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836393/sample081_S001_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836393/sample081_S001_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836393/sample081_S001_L001_R2_001.fastq.gz	sample081		Fecal sample from stool bank donor	2020-11-13	ftp.sra.ebi.ac.uk/vol1/err/ERR483/003/ERR4836393.bam
ERR4836432	SAMEA7571476	ERS5328098	ERX4706210	PRJEB41316	9606	Homo sapiens	ILLUMINA	unspecified		PAIRED	AMPLICON	GENOMIC	PCR	82518	20688436	2020-11-13	2020-11-13	unspecified sequencing: Raw reads: ERS5328098	16S rRNA sequencing of samples from universal stool bank donors	ena-STUDY-OpenBiome-12-11-2020-22:03:30:588-393	webin-reads-ERS5328098	30743dd8417fe6bc65450c3778f269c0;c2c47f41f7963453b0da60ca256d3cb1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/002/ERR4836432/ERR4836432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/002/ERR4836432/ERR4836432_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/002/ERR4836432/ERR4836432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/002/ERR4836432/ERR4836432_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836432/sample121_S001_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836432/sample121_S001_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836432/sample121_S001_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836432/sample121_S001_L001_R2_001.fastq.gz	sample121		Fecal sample from stool bank donor	2020-11-13	ftp.sra.ebi.ac.uk/vol1/err/ERR483/002/ERR4836432.bam
ERR4836436	SAMEA7571480	ERS5328102	ERX4706214	PRJEB41316	9606	Homo sapiens	ILLUMINA	unspecified		PAIRED	AMPLICON	GENOMIC	PCR	105818	26530135	2020-11-13	2020-11-13	unspecified sequencing: Raw reads: ERS5328102	16S rRNA sequencing of samples from universal stool bank donors	ena-STUDY-OpenBiome-12-11-2020-22:03:30:588-393	webin-reads-ERS5328102	2d95723b2d107e641719ebecbe238cfb;3f3558f7f91618cc7f2eccf57e9200c0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/006/ERR4836436/ERR4836436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/006/ERR4836436/ERR4836436_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/006/ERR4836436/ERR4836436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/006/ERR4836436/ERR4836436_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836436/sample125_S001_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836436/sample125_S001_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836436/sample125_S001_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836436/sample125_S001_L001_R2_001.fastq.gz	sample125		Fecal sample from stool bank donor	2020-11-13	ftp.sra.ebi.ac.uk/vol1/err/ERR483/006/ERR4836436.bam
ERR4836448	SAMEA7571492	ERS5328114	ERX4706226	PRJEB41316	9606	Homo sapiens	ILLUMINA	unspecified		PAIRED	AMPLICON	GENOMIC	PCR	56848	14252880	2020-11-13	2020-11-13	unspecified sequencing: Raw reads: ERS5328114	16S rRNA sequencing of samples from universal stool bank donors	ena-STUDY-OpenBiome-12-11-2020-22:03:30:588-393	webin-reads-ERS5328114	1e0810aea44d99990c6ae1cb9595d221;23f1b48a07fc1c5f289d139f5e56a69a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/008/ERR4836448/ERR4836448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/008/ERR4836448/ERR4836448_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/008/ERR4836448/ERR4836448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/008/ERR4836448/ERR4836448_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836448/sample137_S001_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836448/sample137_S001_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836448/sample137_S001_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836448/sample137_S001_L001_R2_001.fastq.gz	sample137		Fecal sample from stool bank donor	2020-11-13	ftp.sra.ebi.ac.uk/vol1/err/ERR483/008/ERR4836448.bam
ERR4836455	SAMEA7571499	ERS5328121	ERX4706233	PRJEB41316	9606	Homo sapiens	ILLUMINA	unspecified		PAIRED	AMPLICON	GENOMIC	PCR	86726	21738570	2020-11-13	2020-11-13	unspecified sequencing: Raw reads: ERS5328121	16S rRNA sequencing of samples from universal stool bank donors	ena-STUDY-OpenBiome-12-11-2020-22:03:30:588-393	webin-reads-ERS5328121	8ed3d014e56c976cec71dacc4519ea28;6b537edc6292727664e6110565c766f0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/005/ERR4836455/ERR4836455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/005/ERR4836455/ERR4836455_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/005/ERR4836455/ERR4836455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/005/ERR4836455/ERR4836455_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836455/sample144_S001_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836455/sample144_S001_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836455/sample144_S001_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR483/ERR4836455/sample144_S001_L001_R2_001.fastq.gz	sample144		Fecal sample from stool bank donor	2020-11-13	ftp.sra.ebi.ac.uk/vol1/err/ERR483/005/ERR4836455.bam
